"No","名称","分類","提供形態","主要成果物","ワークフロー","留意点・参考点","一次資料URL","確認日"
"13","Traycer","AI仕様・実装","デスクトップ作業環境","specs、tickets、stories、reviews","Task内で計画・実行・差分確認","現行公式の中心はデスクトップ。旧IDE拡張の記事と区別","https://docs.traycer.ai/","2026-09-14"
"14","Tessl","AI仕様・実装","スキル・文脈管理プラットフォーム","skills、plugins、evals、設定・評価結果","文脈の配布→評価→改善・統制","旧SDD Frameworkは開発休止。現在の主用途はスキル管理・評価","https://docs.tessl.io/","2026-09-14"
"15","SpecDD / specdd","AI仕様・実装","CLI＋仕様言語・連携","ソース近傍の.sdd","局所仕様→レビュー→実装→チェック","責務・依存・不変条件を局所仕様に記述。言語仕様と実装の範囲は別","https://github.com/specdd/specdd","2026-09-14"
"16","Spec-Pilot / ahmedyoussef-au","AI仕様・実装","プラグイン・プロンプト群","仕様、計画、分析、レビュー文書","仕様→計画→実装→レビュー・文書化","同名のSpecPilot CLIと別物。テンプレート比較の補助候補","https://github.com/ahmedyoussef-au/spec-pilot","2026-09-14"
"17","SpecPilot / girishr","AI仕様・実装","CLI","TypeScript／Node.js案件の.specs","初期化→検証→同期","対象技術と同期内容を確認して採用する","https://github.com/girishr/SpecPilot","2026-09-14"
"18","NodeSpec","AI仕様・実装","可視化UI＋MCP","model.json、要件、受入、ノード・接続契約","要求→構造→タスク→テスト結果","契約を持つ構成図と検証証跡。Community版とホスト版で機能差","https://github.com/NodeSpec/NodeSpec","2026-09-14"
"19","Task Master","AI仕様・実装","タスク管理CLI／MCP","PRD入力、依存付きタスク","PRD解析→分割→実装作業管理","入力PRDの妥当性確認を別途用意。包括的な仕様管理とは区別","https://github.com/eyaltoledano/claude-task-master","2026-09-14"
"20","Agentic Project Management / APM","AI仕様・実装","エージェント向け管理フレームワーク","実装計画、作業記憶、引継ぎ","計画・分担→実装→文脈引継ぎ","仕様書の章立てより大きな作業の分割・文脈管理が主眼","https://github.com/sdi2200262/agentic-project-management","2026-09-14"
"21","specdd / unboundinnov","AI仕様・実装","単一Agent Skill","機能仕様","要求から仕様を具体化","specdd/specddとは別物。小さなスキル設計の補助参考","https://github.com/unboundinnov/specdd","2026-09-14"
"22","Ralph / snarktank","AI仕様・実装","反復実行ループ＋Skills","PRD、prd.json、進捗記録","未完了ストーリー選択→実装・チェック→反復","仕様作成全体より実行方式。停止条件と実際の検証が重要","https://github.com/snarktank/ralph","2026-09-14"
"23","Qoder Quest","AI仕様・実装","製品内の仕様・委任モード","要求、設計、タスク、受入条件を含むSpec","質問→Spec→レビュー→Build→差分確認","仕様への注釈と実行中の追加要求を扱う","https://docs.qoder.com/user-guide/quest/spec-driven","2026-09-14"
"24","SDD Pilot / attilaszasz","AI仕様・実装","エージェント向けワークフロー","仕様、調査・設計、実装計画","調査・仕様→計画→品質ゲート→実装","他のSpec-Pilot／SpecPilotとは別。段階とゲートの参考","https://github.com/attilaszasz/sdd-pilot","2026-09-14"
"25","LeanSpec","AI仕様・実装","CLI＋MCP＋UI","短いMarkdown仕様、状態・関係","仕様の作成・参照・進捗管理","外部providerにはPlanned／Futureがある。紹介文だけで対応済みとしない","https://github.com/codervisor/leanspec","2026-09-14"
"26","Shotgun","AI仕様・実装","コードベースを読む仕様作成CLI","既存コードに即した仕様、段階別PR計画","コード理解→機能計画→実装単位への分割","既存資産を利用する計画・変更対象の説明が参考","https://github.com/shotgun-sh/shotgun","2026-09-14"
"27","adversarial-spec","AI仕様・実装","複数モデルによる仕様レビュー","PRD／技術仕様、批評・改訂","仕様案→複数モデル批評→改訂→人の確認","モデル間の合意は正しさの証明ではない。API利用が必要","https://github.com/zscole/adversarial-spec","2026-09-14"
"28","dotdog","AI仕様・実装","仕様言語＋CLI＋MCP",".dog、コンパイルした.dag、workspace定義","仕様→構造検証→グラフ→エージェント参照","複数リポジトリの構造・依存を機械可読化","https://github.com/specdog/dotdog","2026-09-14"
"29","reqlan","AI仕様・実装","要件言語＋LSP／CLI／MCP","自然言語の要求を結ぶグラフ","要求記述→関係参照・追跡→AI支援","実装自動化より要求とコードの文脈を結ぶ用途","https://github.com/littletuna4/reqlan","2026-09-14"
"30","spec-driver","AI仕様・実装","Markdown／YAML＋CLI／TUI","継続維持する仕様、変更差分、ADR","変更・実装情報を仕様へ反映し検証","使い捨て仕様を避ける設計。管理モデルの導入負担がある","https://github.com/davidlee/spec-driver","2026-09-14"
"31","SpecPulse","AI仕様・実装","仕様駆動開発フレームワーク","仕様・設計・タスク関連成果物","仕様を起点とする開発支援","一次資料で存在・目的を確認。詳細挙動は追加検証対象","https://github.com/specpulse/specpulse","2026-09-14"
"32","MetaSpec","AI仕様・実装","仕様ツールキット生成フレームワーク","領域別speckit、テンプレート・検証器等","メタ仕様→領域別ツールキット生成","READMEはAlpha。スキルを作る側に参考、生成品質は未検証","https://github.com/acnlabs/MetaSpec","2026-09-14"
"33","TypeSpec","API契約・生成・検証","仕様言語＋コンパイラ",".tsp→OpenAPI／JSON Schema等","データ・API定義→各形式・コード生成","人が書くAPIの正本と生成物を区別する設計が参考","https://typespec.io/","2026-09-14"
"34","Smithy","API契約・生成・検証","サービスモデル＋生成系","Smithyモデル","サービス定義→SDK・サーバー等の生成","サービス契約の再利用。業務ロジックは別途実装","https://smithy.io/","2026-09-14"
"35","OpenAPI Generator","API契約・生成・検証","コード生成CLI","OpenAPI→クライアント・サーバースタブ・文書","API仕様から生成","サーバー生成は業務機能の完成を意味しない","https://openapi-generator.tech/","2026-09-14"
"36","AsyncAPI Generator","API契約・生成・検証","テンプレート型生成ツール","AsyncAPI→コード・文書","イベントAPI仕様から生成","非同期連携のスキーマと文書化。対応はテンプレートに依存","https://github.com/asyncapi/generator","2026-09-14"
"37","Buf","API契約・生成・検証","Protobufツールチェーン","proto、生成設定","スキーマ→コード生成・破壊的変更検出","インターフェース互換性のCI化が参考","https://buf.build/docs/breaking/","2026-09-14"
"38","Specmatic","API契約・生成・検証","契約テスト・モック","OpenAPI等のAPI仕様","仕様→モック／契約テスト→実装検証","仕様と実装を機械的に照合。対応プロトコル・機能のエディション差を確認","https://docs.specmatic.io/contract_driven_development","2026-09-14"
"39","Schemathesis","API契約・生成・検証","プロパティベースAPIテスト","OpenAPI／GraphQLスキーマ","スキーマからケース生成→APIを検証","境界入力や契約違反の検出。業務上の期待値は追加が必要","https://schemathesis.io/","2026-09-14"
"40","Pact","API契約・生成・検証","Consumer-driven契約テスト","消費側テストからの契約","Consumer契約→Provider検証","実際の利用側の期待を照合。OpenAPI先行方式とは異なる","https://docs.pact.io/","2026-09-14"
"41","Prism","API契約・生成・検証","モック・検証プロキシ","OpenAPI等","仕様→モック／通信の契約検証","API実装前の接続確認と実装との不一致検出","https://github.com/stoplightio/prism","2026-09-14"
"42","Spectral","API契約・生成・検証","JSON／YAML lint","OpenAPI等＋ルールセット","文書を規約に照合","仕様自体の静的検査。実行時の正しさは別","https://github.com/stoplightio/spectral","2026-09-14"
"43","Redocly CLI","API契約・生成・検証","API仕様CLI","OpenAPI等、分割仕様","lint・bundle等","複数仕様ファイルの整合・配布形態を管理","https://redocly.com/docs/cli","2026-09-14"
"44","Cucumber","実行可能な受入仕様","BDDテストフレームワーク","Gherkin .feature＋step definitions","シナリオ→テスト実行","Given／When／Thenを実コードへ接続する必要がある","https://cucumber.io/docs/","2026-09-14"
"45","Reqnroll","実行可能な受入仕様",".NET BDDフレームワーク","Gherkin＋.NET実装","シナリオ→受入テスト","SpecFlowを基にした再出発。移行互換性の資料あり","https://reqnroll.net/","2026-09-14"
"46","Gauge","実行可能な受入仕様","テストランナー","Markdown系.spec／.md＋ステップ実装","仕様→シナリオ実行→レポート","Markdown形式でも独自構文と実行コードが必要","https://docs.gauge.org/overview","2026-09-14"
"47","FitNesse","実行可能な受入仕様","Wiki＋受入テスト","説明文・テーブル＋fixture","例の表→実装呼出→結果比較","料金・判定ルールなど表形式の受入例が参考","https://fitnesse.org/FitNesse/UserGuide/AcceptanceTests.html","2026-09-14"
"48","Karate","実行可能な受入仕様","API等のテストDSL","featureファイル、データ、assertion","API呼出・検証・モック等","外部連携・エラー・データ条件を具体化。汎用PRD生成ではない","https://docs.karatelabs.io/","2026-09-14"
"49","TLA+ / TLC","形式仕様・状態モデル","仕様言語＋モデル検査","状態・遷移・不変条件","モデルを定義→性質の検査","並行・分散処理の設計検証。モデルと実装の対応は別途必要","https://lamport.azurewebsites.net/tla/tla.html","2026-09-14"
"50","Alloy Analyzer","形式仕様・状態モデル","モデル言語＋解析器","関係・制約・状態のモデル","制約モデル→実例・反例の探索","データ関係や権限の矛盾検討。検査範囲と仮定に依存","https://alloytools.org/","2026-09-14"
"51","Dafny","形式仕様・状態モデル","検証機能付き言語","コードと仕様条件","仕様条件→静的検証→コンパイル","記述した仕様に対する検証。要求自体の妥当性は別","https://dafny.org/","2026-09-14"
"52","Stately / XState","形式仕様・状態モデル","状態モデル・実行ライブラリ","state machines／statecharts","状態設計→可視化・実行","状態遷移を実装と近づける。形式証明ツールとは区別","https://stately.ai/docs","2026-09-14"
"53","StrictDoc","要件管理・トレーサビリティ","文書・要求管理ツール","構造化要求文書と関係","要求記述→追跡・文書生成","IDと関係を管理する補助層。AI実装オーケストレーターではない","https://github.com/strictdoc-project/strictdoc","2026-09-14"
"54","Doorstop","要件管理・トレーサビリティ","Gitと併用する要求管理","テキスト要求、階層・リンク","要求管理→リンク検証・出力","リポジトリ内の要件追跡の参考","https://doorstop.readthedocs.io/en/latest/","2026-09-14"
"55","Sphinx-Needs","要件管理・トレーサビリティ","Sphinx拡張","要求・仕様・テスト等の構造化項目","ID／属性／リンク→表・図・フィルター","要求と検証の対応表を生成する設計が参考","https://sphinx-needs.readthedocs.io/en/latest/","2026-09-14"
"56","Jama Connect","要件管理・トレーサビリティ","商用要求管理","要求・レビュー・テスト・追跡関係","合意・変更・検証の管理","組織的な追跡管理。AI向けSDD CLIとは別カテゴリ","https://help.jamasoftware.com/ah/en/getting-to-know-jama-connect-features.html","2026-09-14"
"57","Polarion Requirements","要件管理・トレーサビリティ","商用要求管理／ALM","要求・変更・関連成果物","要求の管理・レビュー・追跡","複数チームでの変更統制が中心","https://www.siemens.com/en-gb/products/polarion/requirements/","2026-09-14"
"58","IBM DOORS Next","要件管理・トレーサビリティ","商用要求管理／ELM","要求・分類・リンク・レビュー","要求共有と開発成果物の連携","製品・システム開発の要求管理基盤","https://www.ibm.com/docs/en/engineering-lifecycle-management-suite/doors-next/7.1.0?topic=overview-doors-next","2026-09-14"

